"Предприятия, организации,""с начала года"",""январь"",""февраль"",""март"",""апрель"",""май"",""июнь"",""июль"",""август"",""сентябрь"",""октябрь"",""ноябрь"",""декабрь"""
" ООО ""Гусихинское"",""4,944"",""   "",""   "",""   "",""   "",""   "",""   "",""   "",""   "",""   "",""0,136"",""2,128"",""2,68"""
" ЗАО ""Колвинское"",""363,291"",""28,255"",""26,076"",""30,985"",""28,691"",""31,775"",""31,569"",""31,904"",""32,447"",""31,965"",""31,226"",""29,397"",""29,001"""
" ООО ""ННК-Саратовнефтегаздобыча"",""14,986"",""1,306"",""1,097"",""1,224"",""1,206"",""1,21"",""1,172"",""1,194"",""1,316"",""1,3"",""1,356"",""1,325"",""1,28"""
" ЗАО ""Санеко"",""300,1"",""26,09"",""22,889"",""25,47"",""25,836"",""27,94"",""26,12"",""25,53"",""22,85"",""22,79"",""24,739"",""24,24"",""25,606"""
" ООО ""СН-Газдобыча"",""15,658"",""1,699"",""1,396"",""1,338"",""1,404"",""1,387"",""1,286"",""1,348"",""1,153"",""1,221"",""1,222"",""1,086"",""1,118"""
" АО ""Татнефтеотдача"",""701,7"",""60,54"",""53,672"",""59,13"",""57,893"",""59,9"",""57,47"",""59,445"",""59,305"",""57,44"",""59,74"",""57,83"",""59,335"""
" АО ""ННК-Печоранефть"",""326,207"",""29,526"",""26,326"",""28,796"",""26,548"",""27,815"",""27,09"",""27,672"",""27,534"",""26,368"",""26,896"",""25,601"",""26,035"""
" ИТОГО (Нефтяные компании):,""448765,653"",""38549,945"",""34594,431"",""38141,457"",""36777,071"",""37605,298"",""36794,842"",""38117,072"",""38587,786"",""37026,871"",""37970,374"",""36693,779"",""37906,727"""
" ПАО ""Газпром"",""18329,83"",""1646,637"",""1509,552"",""1631,017"",""1508,366"",""1560,926"",""1426,913"",""1316,336"",""1342,71"",""1436,095"",""1621,727"",""1609,343"",""1720,208"""
" ООО ""Сервиснефтегаз"",""3,228"",""0,257"",""0,262"",""0,288"",""0,27"",""0,284"",""0,276"",""0,276"",""0,255"",""0,257"",""0,323"",""0,233"",""0,247"""
" ООО ""Газпром добыча Краснодар"",""259,602"",""22,489"",""20,083"",""22,008"",""20,642"",""22,252"",""21,661"",""22,252"",""21,219"",""20,314"",""22,458"",""21,489"",""22,735"""
" ООО ""Газпром добыча Астрахань"",""3887,434"",""355,311"",""320,331"",""322,834"",""303,74"",""302,084"",""285,595"",""300,548"",""300,581"",""290,429"",""356,481"",""370,24"",""379,26"""
" ООО ""Газпром добыча Иркутск"",""7,17"",""0,812"",""0,609"",""0,614"",""0,574"",""0,374"",""0"",""0,005"",""0,811"",""0,867"",""0,869"",""0,858"",""0,777"""
" ООО ""Газпром добыча Оренбург"",""179,551"",""18,377"",""15,237"",""16,895"",""12,766"",""15,876"",""14,126"",""12,544"",""12,655"",""12,325"",""14,384"",""16,653"",""17,713"""
" ООО ""Газпром добыча Надым"",""117,68"",""11,261"",""9,888"",""10,768"",""9,879"",""10,024"",""8,293"",""7,191"",""8,526"",""9,056"",""10,578"",""10,825"",""11,391"""
" ООО ""Газпром добыча Ноябрьск"",""60,736"",""1,738"",""1,515"",""1,565"",""2,154"",""1,412"",""1,112"",""0,822"",""1,057"",""1,218"",""12,56"",""14,317"",""21,266"""
" ОАО ""Томскгазпром"" (Востокгазпром),""1370,336"",""119,267"",""110,535"",""119,885"",""109,949"",""118,517"",""116,521"",""118,486"",""111,113"",""111,809"",""113,334"",""109,16"",""111,76"""
" ООО ""Газпром добыча Уренгой"",""8418,801"",""722,504"",""676,259"",""750,821"",""694,709"",""742,965"",""655,18"",""577,872"",""657,294"",""718,048"",""760,138"",""696,308"",""766,703"""
" ООО Газпром добыча шельф Южно-Сахалинск,""132,93"",""25,703"",""22,344"",""23,549"",""2,914"",""0"",""0"",""0"",""0"",""   "",""9,556"",""23,797"",""25,067"""
" ООО ""Газпром добыча Ямбург"",""3892,362"",""368,918"",""332,489"",""361,79"",""350,769"",""347,138"",""324,149"",""276,34"",""229,199"",""271,772"",""321,046"",""345,463"",""363,289"""
" ПАО ""НОВАТЭК"",""8424,644"",""711,952"",""657,727"",""720,082"",""696,996"",""716,014"",""688,781"",""707,01"",""701,787"",""700,37"",""718,177"",""698,404"",""707,344"""
" АО ""НОВАТЭК-Пур"",""224,752"",""12,313"",""12,014"",""13,476"",""11,489"",""13,598"",""14,974"",""15,984"",""17,421"",""28,482"",""29,152"",""27,709"",""28,14"""
" АО ""Евротэк"",""0,99"",""0,188"",""0,159"",""0,163"",""0,167"",""0,171"",""0,142"",""   "",""   "",""0"",""   "",""   "",""   """
" ООО ""Арктик СПГ 2"",""2,151"",""0"",""0,012"",""0,013"",""0,003"",""0,018"",""0,006"",""0,032"",""0,037"",""0,368"",""0,124"",""0,603"",""0,935"""
" ЗАО ""Тернефтегаз"",""769,137"",""67,205"",""60,797"",""66,785"",""65,334"",""66,827"",""63,957"",""65,669"",""54,56"",""63,423"",""65,599"",""63,813"",""65,168"""
" ООО ""ЯРГЕО"",""3238,775"",""279,826"",""248,905"",""273,808"",""265,895"",""272,008"",""261,265"",""268,406"",""275,211"",""268,44"",""276,759"",""273,093"",""275,159"""
" ООО НК ""Севернефть-Уренгой"",""4,305"",""4,305"",""0"",""0"",""0"",""0"",""0"",""   "",""   "",""   "",""   "",""   "",""   """
" ООО ""Таркосаленефтегаз"",""1540,275"",""131,905"",""117,281"",""131,26"",""128,125"",""132,405"",""129,604"",""134,895"",""133,055"",""127,044"",""128,751"",""124,353"",""121,597"""
" ООО ""Юрхаровнефтегаз"",""1252,511"",""107,114"",""103,304"",""113,919"",""109,284"",""109,431"",""103,09"",""103,394"",""104,72"",""98,366"",""103,053"",""97,321"",""99,515"""
" ОАО ""Ямал СПГ"",""1391,748"",""109,096"",""115,255"",""120,658"",""116,699"",""121,556"",""115,743"",""118,63"",""116,783"",""114,247"",""114,739"",""111,512"",""116,83"""
" Прочие производители,""   "",""   "",""   "",""   "",""   "",""   "",""   "",""   "",""   "",""   "",""   "",""   "",""   """
" АО ""Зарубежнефть"",""3337,482"",""292,868"",""264,447"",""294,058"",""276,847"",""283,275"",""282,027"",""288,632"",""275,352"",""271,161"",""268,302"",""259,249"",""281,264"""
" ООО ""РУСВЬЕТПЕТРО"",""3168,214"",""279,023"",""251,976"",""280,469"",""264,637"",""271,701"",""267,066"",""273,017"",""260,119"",""255,536"",""253,448"",""245,456"",""265,766"""
" АО ""Оренбургнефтеотдача"",""122,357"",""9,289"",""8,486"",""9,537"",""9,306"",""8,861"",""10,777"",""11,022"",""10,837"",""11,138"",""11,291"",""10,525"",""11,288"""
" ООО ""Ульяновскнефтегаз"",""46,911"",""4,556"",""3,985"",""4,052"",""2,904"",""2,713"",""4,184"",""4,593"",""4,396"",""4,487"",""3,563"",""3,268"",""4,21"""
" АО ""НК ""Нефтиса"",""6775,132"",""578,218"",""519,227"",""572,029"",""550,547"",""576,099"",""555,828"",""602,349"",""575,673"",""551,584"",""570,303"",""550,567"",""572,708"""
" Филиал компании ""КанБайкал Резорсез Инк."",""617,251"",""42,961"",""40,219"",""45,461"",""43,951"",""51,677"",""54,637"",""54,575"",""55,403"",""53,869"",""58,442"",""55,334"",""60,722"""
" ООО ""ПИТ ""СИБИНТЭК"",""631,545"",""58,801"",""51,032"",""54,666"",""52,162"",""56,105"",""39,635"",""68,334"",""49,664"",""48,173"",""50,103"",""50,496"",""52,374"""
" ОАО ""Самараинвестнефть"",""411,828"",""38,66"",""35,113"",""38,088"",""35,83"",""35,506"",""37,979"",""39,604"",""32,703"",""28,655"",""29,231"",""28,906"",""31,553"""
" ЗАО ""Уралнефтесервис"",""153,312"",""13,571"",""12,004"",""13,473"",""12,565"",""12,973"",""12,384"",""13,321"",""13,447"",""12,327"",""12,556"",""11,998"",""12,693"""
" ООО ""Белкамнефть"",""2613,774"",""219,65"",""197,891"",""219,821"",""213,723"",""221,497"",""215,982"",""223,713"",""225,607"",""217,721"",""222,286"",""214,498"",""221,385"""
" ОАО ""Комнедра(УПК Недра)"",""498,025"",""46,026"",""40,958"",""44,755"",""40,581"",""42,583"",""41,141"",""41,836"",""40,787"",""40,293"",""40,605"",""38,546"",""39,914"""
" ОАО ""Новосибирскнефтегаз"",""114,47"",""10,761"",""9,586"",""10,439"",""9,814"",""10,159"",""9,405"",""9,489"",""9,397"",""8,813"",""9,039"",""8,629"",""8,939"""
" ООО ""Окуневское"",""119,028"",""9,903"",""8,878"",""9,407"",""9,369"",""10,112"",""9,837"",""9,944"",""9,997"",""9,36"",""9,987"",""10,619"",""11,615"""
" ООО ""Регион-й нефтяной консорциум"",""717,2"",""61,318"",""55,43"",""61,434"",""60,193"",""62,037"",""59,761"",""61,722"",""60,603"",""57,798"",""60,11"",""57,786"",""59,008"""
" ОАО ""Удмуртская нефтяная компания"",""247,804"",""21,245"",""19,535"",""21,768"",""20,759"",""21,389"",""20,396"",""20,85"",""20,165"",""19,913"",""20,797"",""19,704"",""21,283"""
" ОАО ""Уральская нефть"",""19,778"",""1,912"",""1,712"",""1,796"",""1,619"",""1,631"",""1,448"",""1,581"",""1,599"",""1,504"",""1,651"",""1,647"",""1,678"""
" ООО ""Юрскнефть"",""631,117"",""53,41"",""46,869"",""50,921"",""49,981"",""50,43"",""53,223"",""57,38"",""56,301"",""53,158"",""55,496"",""52,404"",""51,544"""
" ОАО ""Арктикгаз"",""8252,88"",""693,916"",""618,568"",""691,47"",""686,95"",""704,674"",""684,016"",""672,793"",""678,847"",""701,874"",""717,94"",""689,736"",""712,096"""
